ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
310;Singerstraße, Probstisches Haus;Singerstraße 891;891;947;923;Domprobstenhof;Singerstraße;Magistrat der Stadt Wien;48.206867;16.3744461;Kärntnerviertel
311;Singerstraße, Souchesisches Haus;Singerstraße 893;893;949;925;;Singerstraße;Stift Schotten;48.20700184;16.37418303;Kärntnerviertel
312;Singerstraße, Thavonatisches Haus;Singerstraße 895;895;951;927;;Singerstraße;Magistrat der Stadt Wien;48.207304;16.3735827;Kärntnerviertel
313;Singerstraße, Brabantisches Haus;Singerstraße 896;896;952;928;;Singerstraße;Magistrat der Stadt Wien;48.207388;16.373341;Kärntnerviertel
314;Singerstraße, Aichbüchlisches Haus;Singerstraße 898;898;954;930;;Singerstraße;Magistrat der Stadt Wien;48.2075646;16.3728518;Kärntnerviertel
315;Singerstraße, Weigantisches Haus;Singerstraße 899;899;955;931;;Singerstraße;Magistrat der Stadt Wien;48.20763526;16.37265538;Kärntnerviertel
316;Singerstraße, Schmelzerisches Haus;Singerstraße 900;900;956;932;;Singerstraße;Magistrat der Stadt Wien;48.2077101;16.3724543;Kärntnerviertel
317;Kärntnerstraße, Zwierschlagisches Haus;Kärntnerstraße 901;901;957;933;;Kärntnerstraße;Magistrat der Stadt Wien;48.2077835;16.3720407;Kärntnerviertel
318;Kärntnerstraße, Dietmayrisches Haus;Kärntnerstraße 902;902;958;934;;Kärntnerstraße;Magistrat der Stadt Wien;48.20758079;16.37178425;Kärntnerviertel
319;Kärntnerstraße, Creuzthalerisches Haus;Kärntnerstraße 905;905;961;937;;Kärntnerstraße;Magistrat der Stadt Wien;48.20719;16.3716985;Kärntnerviertel
320;Weihburggasse, Gariboldisches Haus;Weihburggasse 906;906;962;938;;Weihburggasse;Magistrat der Stadt Wien;48.20715965;16.37223935;Kärntnerviertel
321;Singerstraße, Schmuderersches Haus;Weihburggasse 912;912;968;944;;Weihburggasse;Magistrat der Stadt Wien;48.2066934;16.3744539;Kärntnerviertel
322;Bei den Franziskanern, Kaisersteinisches Haus;Weihburggasse 915;915;971;946;;Weihburggasse;Magistrat der Stadt Wien;48.20569191;16.37505328;Kärntnerviertel
323;Franziskanerplatz, Opplisches Haus;Weihburggasse 920;920;976;951;;Weihburggasse;Stift Schotten;48.20629028;16.37403868;Kärntnerviertel
324;;Krugerstraße 1015;1015;1077;1049;;Krugerstraße;Magistrat der Stadt Wien;48.20395921;16.37114844;Kärntnerviertel
325;Franziskanerplatz, Zum gelben Adler;Weihburggasse 922;922;978;953;;Weihburggasse;Stift Schotten;48.20657521;16.37378216;Kärntnerviertel
326;Weihenburg, Winckhlerisches Haus;Weihburggasse 923;923;979;954;;Weihburggasse;Stift Schotten;48.20664645;16.37362429;Kärntnerviertel
327;Weiburggasse, Heissensteinisches Haus;Weihburggasse 924;924;980;955;;Weihburggasse;Stift Schotten;48.20675165;16.3733875;Kärntnerviertel
328;Weihburggasse, Hochburgisches Haus;Weihburggasse 925;925;981;956;;Weihburggasse;Magistrat der Stadt Wien;48.20678891;16.37322964;Kärntnerviertel
329;Weihenburg, Halleweilsches Haus;Weihburggasse 926;926;982;957;;Weihburggasse;Magistrat der Stadt Wien;48.20682398;16.37304218;Kärntnerviertel
330;Rauhensteingasse, Zum goldenen A.B.C.;Rauhensteingasse 936;936;994;972;;Rauhensteingasse;Magistrat der Stadt Wien;48.2064804;16.3725554;Kärntnerviertel
331;Himmelpfortgasse, Pupellerisches Haus;Rauhensteingasse 937;937;995;973;;Rauhensteingasse;Magistrat der Stadt Wien;48.2065352;16.3726042;Kärntnerviertel
332;Kärntnerstraße, Einederisches Haus;Weihburggasse 940;940;998;959;;Weihburggasse;Magistrat der Stadt Wien;48.20701207;16.37166062;Kärntnerviertel
333;Kärntnerstraße, Draghisches Haus;Kärntnerstraße 941;941;999;960;;Kärntnerstraße;Magistrat der Stadt Wien;48.206787;16.3716761;Kärntnerviertel
334;Kärntnerstraße, Gundelisches Haus;Kärntnerstraße 942;942;1000;961;;Kärntnerstraße;Magistrat der Stadt Wien;48.2065978;16.3716727;Kärntnerviertel
335;Kärntnerstraße, Vollandisches Haus;Kärntnerstraße 943;943;1001;962;;Kärntnerstraße;Magistrat der Stadt Wien;48.20643946;16.3716744;Kärntnerviertel
336;Kärntnerstraße, Holleriederisches Haus;Kärntnerstraße 944;944;1002;963:964;;Kärntnerstraße;Magistrat der Stadt Wien;48.2062772;16.3716356;Kärntnerviertel
337;Himmelpfortgasse, Frickhisches Haus;Himmelpfortgasse 947;947;1005;967;;Himmelpfortgasse;Stift Schotten;48.20595323;16.37195619;Kärntnerviertel
338;Himmelpfortkloster;Himmelpfortgasse 949;949;"989;1006";1356;;Himmelpfortgasse;Magistrat der Stadt Wien;48.20579163;16.37263765;Kärntnerviertel
339;Himmelpfortgasse, Erdödysches Haus;Himmelpfortgasse 952;952;1009;978;;Himmelpfortgasse;Stift Schotten;48.2055532;16.373622;Kärntnerviertel
340;Seilerstätte, Pockisches Haus;Seilerstätte 957;957;1014;983;;Seilerstätte;Magistrat der Stadt Wien;48.2053725;16.3745495;Kärntnerviertel
341;Ksl. Zeughaus;Seilerstätte 958;958;1015;984;K. K. Zeug- und Gußhaus;Seilerstätte;Kaiserlich-Königlich;48.2052536;16.3748099;Kärntnerviertel
342;Schlosserhof;Seilerstätte 959;959;1016;1006;K. K. Trabantengarde-Kaserne;Seilerstätte;Kaiserlich-Königlich;48.20483379;16.37415955;Kärntnerviertel
343;Himmelpfortgasse, Zur ungarischen Krone;Himmelpfortgasse 961;961;1018;986;;Himmelpfortgasse;Magistrat der Stadt Wien;48.20526668;16.37411761;Kärntnerviertel
344;Himmelpfortgasse, Grienpökhsches Haus;Himmelpfortgasse 962;962;1019;987;;Himmelpfortgasse;Stift Schotten;48.20533792;16.3737986;Kärntnerviertel
345;Kärntnerstraße, Bartholomäus-Hinck-Haus;Kärntnerstraße 967;967;1025;993;;Kärntnerstraße;Stift Schotten;48.20577817;16.3714585;Kärntnerviertel
346;Kärntnerstraße, Zum goldenen Greif;Kärntnerstraße 968;968;1026;994;;Kärntnerstraße;Stift Schotten;48.20564331;16.37143242;Kärntnerviertel
347;Kärntnerstraße, Oberndorfferisches Haus;Johannesgasse 969;969;1027;995;;Johannesgasse;Magistrat der Stadt Wien;48.2054341;16.3713037;Kärntnerviertel
348;Johannesgasse, Herbersteinisches Haus;Johannesgasse 972;972;1031;999;;Johannesgasse;Ständisch rustikal, seiner Obrigkeit Magistrat der Stadt Wien und Stift Schotten;48.2049716;16.3726295;Kärntnerviertel
349;Johannesgasse, Voglisches Haus;Johannesgasse 974;974;1033;1001;;Johannesgasse;Magistrat der Stadt Wien;48.2048555;16.373033;Kärntnerviertel
350;Johannesgasse, Pucheneggisches Haus;Johannesgasse 977;977;1036;1004;Herzogliches Savoyisches Damenstift;Johannesgasse;Magistrat der Stadt Wien;48.2046049;16.3737862;Kärntnerviertel
351;Johannesgasse, Zur eisernen Birne;Johannesgasse 978;978;1037;1005;;Johannesgasse;Magistrat der Stadt Wien;48.2045665;16.373952;Kärntnerviertel
352;Johanneshof;Kärntnerstraße 981;981;1040;1008;Ritterorden-Comm. St. Johannes;Kärntnerstraße;Ständisch frei;48.2051395;16.3711535;Kärntnerviertel
353;Annagasse, Gundlisches Haus;Kärntnerstraße 983;983;1042;1010;;Kärntnerstraße;Magistrat der Stadt Wien;48.20475762;16.37098503;Kärntnerviertel
354;Mariazellerhof;Annagasse 984;984;1043;1012;Mariazellerhof;Annagasse;Ständisch frei;48.20429732;16.37232686;Kärntnerviertel
355;Annagasse, Jakobstadlisches Haus;Seilerstätte 987;987;1046;1014;;Seilerstätte;Magistrat der Stadt Wien;48.20410443;16.37323786;Kärntnerviertel
356;Annagasse, Radoltisches Haus;Annagasse 986;986;1045;1367;Ursuliner-Zinshaus;Annagasse;Magistrat der Stadt Wien;48.20415704;16.37293858;Kärntnerviertel
357;Annagasse, Hueberisches Haus;Annagasse 985;985;1044;1013;Ritterorden-Comm. St. Johannes;Annagasse;Ständisch frei;48.20422937;16.37261956;Kärntnerviertel
358;Annagasse, Lebzelterisches Haus;Annagasse 999;999;1061;1019;;Annagasse;Magistrat der Stadt Wien;48.20418992;16.37223149;Kärntnerviertel
359;Annagasse, Pöttingsches Haus;Annagasse 1000;1000;1062;1020;;Annagasse;Magistrat der Stadt Wien;48.20425129;16.37204896;Kärntnerviertel
360;Täuberlhof;Annagasse 1001;1001;1063;1021;;Annagasse;Magistrat der Stadt Wien;48.20429732;16.37185656;Kärntnerviertel
361;Herzogenburgerhof;Annagasse 1002;1002;1064;1022;Stift Herzogenburg;Annagasse;Ständisch frei;48.20437842;16.37163292;Kärntnerviertel
362;Annagasse, Kremsmünsterisches Haus;Annagasse 1003;1003;1065;1023;Kremsmünsterhof;Annagasse;Ständisch frei;48.20442445;16.37147506;Kärntnerviertel
363;Klugerstraße, Beim goldenen Löwen;Kärntnerstraße 1004;1004;1066;1024;;Kärntnerstraße;Magistrat der Stadt Wien;48.20448363;16.37083703;Kärntnerviertel
364;Kärnterstraße Jodicisches Haus;Kärntnerstraße 1005;1005;1067;1025;;Kärntnerstraße;Magistrat der Stadt Wien;48.20428636;16.37069726;Kärntnerviertel
365;Klugerstraße, Zum grünen Hufeisen;Krugerstraße 1006;1006;1068;1026;;Krugerstraße;Magistrat der Stadt Wien;48.20415375;16.37101627;Kärntnerviertel
366;Annagasse, Seckhlisches Haus;Krugerstraße 1008;1008;1070;1028;;Krugerstraße;Magistrat der Stadt Wien;48.20394114;16.37178421;Kärntnerviertel
367;Klugerstraße, Zum Walfisch;Wahlfischgasse 1011;1011;1073;1030;;Wahlfischgasse;Magistrat der Stadt Wien;48.2036943;16.372598;Kärntnerviertel
368;Klugerstraße, Perlstickerisches Haus;Krugerstraße 1012;1012;1084;1045;;Krugerstraße;Magistrat der Stadt Wien;48.20371317;16.37210816;Kärntnerviertel
369;;Weihburggasse 921;921;977;952;;Weihburggasse;Magistrat der Stadt Wien;48.20641532;16.37393995;Kärntnerviertel
370;Altenburgerhof;Kärntnerstraße 1017;1017;1079;1051;;Kärntnerstraße;Magistrat der Stadt Wien;48.2040818;16.3705595;Kärntnerviertel
371;;Sattlergassel 1037;1037;1100;1065;K. K. Hof-Operntheater;Sattlergassel;Magistrat der Stadt Wien;48.20387209;16.36988164;Widmerviertel
372;Neuer Markt, Zum weißen Schwan;Kärntnerstraße 1044;1044;1107;1073;;Kärntnerstraße;Magistrat der Stadt Wien;48.20546774;16.37109548;Widmerviertel
373;Mehlgrube;Kärntnerstraße 1045;1045;1108;1074;;Kärntnerstraße;Magistrat der Stadt Wien;48.20574334;16.37125476;Widmerviertel
374;Bürgerspital;Kärntnerstraße 1046;1046;1109;1075;Bürgerspital-Zinshaus;Kärntnerstraße;Magistrat der Stadt Wien;48.20620878;16.37144773;Widmerviertel
375;Kärntnerstraße, Hofapotheke Zum schwarzen Mohr;Kärntnerstraße 1049;1049;1113;1079;;Kärntnerstraße;Magistrat der Stadt Wien;48.20665147;16.3714488;Widmerviertel
376;Neuer Markt, Häckhlisches Haus;Neuer Markt 1053;1053;1117;1103;;Neuer Markt;"Ständisch frei;Magistrat der Stadt Wien";48.2059847;16.3710015;Widmerviertel
377;Neuer Markt, Schwarzenbergisches Haus;Neuer Markt 1054;1054;1118;1104;;Neuer Markt;Magistrat der Stadt Wien;48.2053249;16.370597;Widmerviertel
378;Neuer Markt, Draskovichisches Haus;Neuer Markt 1057;1057;1121;1106;;Neuer Markt;Magistrat der Stadt Wien;48.2059189;16.37026538;Widmerviertel
379;Neuer Markt, Perinisches Haus;Neuer Markt 1058;1058;1122;1107;;Neuer Markt;Magistrat der Stadt Wien;48.20603322;16.37035114;Widmerviertel
380;Neuer Markt, Buccelinisches Haus;Plankengasse 1060;1060;1124;1109;;Plankengasse;"Ständisch frei;Magistrat der Stadt Wien";48.20616387;16.37042159;Widmerviertel
381;Neuer Markt, Zu den sieben Säulen;Neuer Markt 1065;1065;1130;1110;;Neuer Markt;"Magistrat der Stadt Wien;Stift Schotten";48.2065;16.3706;Widmerviertel
382;Kärntnerstraße, Hasenhaus;Kärntnerstraße 1073;1073;1139;1082;;Kärntnerstraße;Magistrat der Stadt Wien;48.20719833;16.37147511;Widmerviertel
383;Stock im Eisen, Königsackerisches Haus;Stock im Eisen 1081;1081;1148;1091;;Stock im Eisen;Magistrat der Stadt Wien;48.2080382;16.3714407;Widmerviertel
384;Neuer Markt, Zu den sieben Körben;Seilergasse 1084;1084;1151;1095;;Seilergasse;Stift Schotten;48.2074812;16.3710215;Widmerviertel
385;Seilergasse, Zum goldenen Ochsen;Seilergasse 1086;1086;1153;1096;;Seilergasse;Stift Schotten;48.20683141;16.37043997;Widmerviertel
386;Neuer Markt, Zerletisches Haus;Seilergasse 1088;1088;1154;1115;;Seilergasse;Stift Schotten;48.20709168;16.3705916;Widmerviertel
387;Seilergasse, Althanisches Haus;Seilergasse 1090;1090;1156;1117;;Seilergasse;Ständisch frei;48.2073891;16.3706987;Widmerviertel
388;Matschackerhof;Seilergasse 1091;1091;1157;1118;;Seilergasse;Magistrat der Stadt Wien;48.2076011;16.3704773;Widmerviertel
389;Stock im Eisen, Zu den heiligen drei Königen;Seilergasse 1092;1092;1158;1119;;Seilergasse;Magistrat der Stadt Wien;48.2080281;16.3709312;Widmerviertel
390;Graben, Tättenriederisches Haus;Graben 1094;1094;1160;1120;;Graben;Magistrat der Stadt Wien;48.2080374;16.3707609;Widmerviertel
391;Graben, Andreasisches Haus;Spiegelgasse 1095;1095;1161;1121;;Spiegelgasse;Magistrat der Stadt Wien;48.2080809;16.3705943;Widmerviertel
392;Bei den Augustinern, Dietrichsteinisches Haus;Spitalsplatz 1101;1101;1167;1132;;Spitalsplatz;Ständisch frei;48.2057391;16.3685454;Widmerviertel
393;Spiegelgasse, Rumerskirchisches Haus;Spiegelgasse 1104;1104;1170;1135;;Spiegelgasse;Ständisch rustikal, seiner Obrigkeit Stift Schotten;48.20756161;16.37028333;Widmerviertel
394;Graben, Zum grünen Kranz;Dorotheergasse 1105;1105;1171;1136;;Dorotheergasse;Stift Schotten;48.2081261;16.3703874;Widmerviertel
395;Dorotheergasse, Beim Jägerhorn;Dorotheergasse 1106;1106;1172;1137;;Dorotheergasse;Stift Schotten;48.2079282;16.3700325;Widmerviertel
396;Dorotheergasse, Rumerskirchisches Haus;Dorotheergasse 1107;1107;1173;1138;Salesianer-Zinshaus;Dorotheergasse;Ständisch rustikal, seiner Obrigkeit Stift Schotten;48.2077518;16.3698822;Widmerviertel
397;Dorotheergasse, Hardeggisches Haus;Dorotheergasse 1108;1108;1174;1139;;Dorotheergasse;Ständisch frei;48.2075835;16.3696864;Widmerviertel
398;;Kärntnerstraße 1043;1043;1106;1072;;Kärntnerstraße;Magistrat der Stadt Wien;48.20461441;16.37067277;Widmerviertel
399;Dorotheerkloster;Dorotheergasse 1112;1112;1178;1143;K. K. Versatzamt;Dorotheergasse;Ständisch frei;48.20636801;16.36852553;Widmerviertel
400;Dorotheergasse, Häcklbergisches Haus;Dorotheergasse 1115;1115;1181;1144;;Dorotheergasse;Ständisch frei;48.2073707;16.3691406;Widmerviertel
401;Graben, Apotheke Zum schwarzen Adler;Graben 1121;1121;1187;1150;;Graben;Magistrat der Stadt Wien;48.20834955;16.36993636;Widmerviertel
402;Graben, Pfeifferisches Haus;Untere Breunerstraße 1122;1122;1188;1151;;Untere Breunerstraße;Stift Schottten;48.20846681;16.36974067;Widmerviertel
403;Untere Bräunerstraße, Walterskirchisches Haus;Untere Breunerstraße 1126;1126;1192;1155;;Untere Breunerstraße;Ständisch frei;48.2074973;16.3687001;Widmerviertel
404;Obere Bräunerstraße, Kaisersteinisches Haus;Untere Breunerstraße 1127;1127;1193;1156;;Untere Breunerstraße;Ständisch frei;48.2071168;16.3689964;Widmerviertel
405;Untere Bräunerstraße, Hochenfeldisches Haus;Untere Breunerstraße 1129;1129;1196;"1157;1158";;Untere Breunerstraße;"Ständisch frei;Magistrat der Stadt Wien";48.207766;16.3686287;Widmerviertel
406;Untere Bräunerstraße, Bei den drei weißen Tauben;Untere Breunerstraße 1130;1130;1197;1159;;Untere Breunerstraße;Stift Schottten;48.20813805;16.36901221;Widmerviertel
407;Untere Bräunerstraße, Zum weißen Schwan;Untere Breunerstraße 1132;1132;1199;1161;;Untere Breunerstraße;Stift Schottten;48.20830352;16.36920131;Widmerviertel
408;Graben, Selbisches Haus;Untere Breunerstraße 1133;1133;1200;1162;;Untere Breunerstraße;Stift Schottten;48.2086632;16.3694067;Widmerviertel
409;Obere Bräunerstraße, Claudisches Haus;Ober Bräunerstraße 1135;1135;1202;1164;;Ober Bräunerstraße;Magistrat der Stadt Wien;48.2083745;16.3686802;Widmerviertel
410;Untere Bräunerstraße, Cavrianisches Haus;Ober Bräunerstraße 1136;1136;1203;1165;;Ober Bräunerstraße;Ständisch rustikal, seiner Obrigkeit Magistrat der Stadt Wien;48.20817421;16.36846626;Widmerviertel
411;Untere Bräunerstraße, Trautsonisches Haus;Ober Bräunerstraße 1138;1138;1206;1163;;Ober Bräunerstraße;Ständisch frei;48.20768326;16.36799925;Widmerviertel
412;Obere Bräunerstraße, Michaelerhaus;Ober Bräunerstraße 1139;1139;1207;1169;P. P. Barnabiten-Collegium St. Michael;Ober Bräunerstraße;Ständisch frei;48.20805805;16.36809627;Widmerviertel
413;Obere Bräunerstraße, Noriquernisches Haus;Ober Bräunerstraße 1140;1140;1208;1170;;Ober Bräunerstraße;Ständisch frei;48.20839229;16.3684268;Widmerviertel
414;Obere Bräunerstraße, Spiglisches Haus;Ober Bräunerstraße 1141;1141;1209;1171;;Ober Bräunerstraße;Magistrat der Stadt Wien;48.20852872;16.36858466;Widmerviertel
415;Graben, Kuglerisches Haus;Graben 1144;1144;1212;1174;;Graben;Stift Schotten;48.2090208;16.3688846;Widmerviertel
416;Graben, Scalvignonisches Haus;Graben 1145;1145;1213;1175;;Graben;Magistrat der Stadt Wien;48.2091316;16.3686654;Widmerviertel
417;;Dorotheergasse 1109;1109;1175;1140;;Dorotheergasse;Ständisch frei;48.20737531;16.36946606;Widmerviertel
418;Kohlmarkt, Zur weißen Säule;Kohlmarkt 1148;1148;1216;1178;;Kohlmarkt;Magistrat der Stadt Wien;48.20902624;16.36806174;Widmerviertel
419;;Spiegelgasse 1103;1103;1169;1134;;Spiegelgasse;Ständisch frei;48.20735559;16.37016986;Widmerviertel
420;Kohlmarkt, Glässerisches Haus;Kohlmarkt 1150;1150;1218;1180;;Kohlmarkt;Magistrat der Stadt Wien;48.2086953;16.36765722;Widmerviertel
421;Kohlmarkt, Francescinisches Haus;Kohlmarkt 1151;1151;1219;1181;;Kohlmarkt;Magistrat der Stadt Wien;48.20862845;16.36757993;Widmerviertel
422;;Augustinergasse 1155;1155;1224;1129;;Augustinergasse;Magistrat der Stadt Wien;48.20662912;16.36758651;Widmerviertel
423;Kohlmarkt, Großes Michaelerhaus;Kohlmarkt 1152;1152;1220;1182;P. P. Barnabiten-Zinshaus;Kohlmarkt;"Magistrat redimiert;Stift Schotten";48.2083831;16.3672726;Widmerviertel
424;Ksl. Stallburg;Augustinergasse 1154;1154;1223;1128;K. K. alte Stallburg;Augustinergasse;Kaiserlich-Königlich;48.2073443;16.3671894;Widmerviertel
425;Ksl. Salzamt;#NV;1216;#NV;#NV;#NV;#NV;#NV;48.2123623;16.3745665;Schottenviertel
426;;Kärntnerstraße 1038;1038;1101;1066;;Kärntnerstraße;Magistrat der Stadt Wien;48.20380195;16.37023518;Widmerviertel
427;;Komödiengasse 1039;1039;1102;1067;;Komödiengasse;Magistrat der Stadt Wien;48.20394223;16.37031082;Widmerviertel
428;;Judenplatz 344;344;374;274;;Judenplatz;Magistrat der Stadt Wien;48.21189292;16.36946442;Widmerviertel
429;;Judenplatz 345;345;375;275;;Judenplatz;Magistrat der Stadt Wien;48.21181621;16.36960912;Widmerviertel
430;;Naglergasse 283;283;"304;305";"174;175";;Naglergasse;Magistrat der Stadt Wien;48.20972539;16.36833266;Schottenviertel
431;Neuer Markt, Romaninisches Haus;Neuer Markt 1051;1051;1115;1101;;Neuer Markt;Magistrat der Stadt Wien;48.20645375;16.37114142;Widmerviertel
432;;Naglergasse 309;309;336;227;;Naglergasse;Magistrat der Stadt Wien;48.20970238;16.36857274;Widmerviertel
433;Neuer Markt, Heussingerisches Haus;Plankengasse 1064;1064;1129;0;;Plankengasse;"Ständisch frei;Magistrat der Stadt Wien";48.20633695;16.37049011;Widmerviertel
434;Kärntnerstraße, Hauerisches Haus;Kärntnerstraße 1075;1075;1142;1085;;Kärntnerstraße;Magistrat der Stadt Wien;48.207509;16.3715078;Widmerviertel
435;Neuer Markt, Bidtermannisches Haus;Seilergasse 1085;1085;1152;1112;;Seilergasse;Magistrat der Stadt Wien;48.20676812;16.37061151;Widmerviertel
436;;Dorotheergasse 1117;1117;1183;1146;;Dorotheergasse;Stift Schottten;48.2077797;16.36961899;Widmerviertel
437;;Rotenturmstraße 648;648;691;"673;688";;Rotenturmstraße;"Kaiserlich-Königlich;Magistrat der Stadt Wien";48.2117017;16.37708498;Stubenviertel
438;;Rotenturmstraße 650;650;694;1228;Militär Wachhaus;Rotenturmstraße;Magistrat der Stadt Wien;48.21144309;16.37801736;Stubenviertel
439;;Kohlmarkt 282;282;"302;303";"172;173";;Kohlmarkt;Magistrat der Stadt Wien;48.20955554;16.36852012;Schottenviertel
440;Freyung, Pallfysches Haus;Freyung 238;238;"245;246";"120;121";;Freyung;Ständisch rustikal, seiner Obrigkeit Stift Schotten;48.211096;16.3658299;Schottenviertel
441;Kohlmarkt, Prämerisches Haus;Kohlmarkt 256;256;267;138;;Kohlmarkt;Magistrat der Stadt Wien;48.20851667;16.36712937;Schottenviertel
442;Kohlmarkt, Claasisches Haus;Kohlmarkt 262;262;273;144;;Kohlmarkt;Magistrat der Stadt Wien;48.20893638;16.36766215;Schottenviertel
443;Kohlmarkt, Deglerisches Haus;Kohlmarkt 278;278;297;167;;Kohlmarkt;Ständisch frei;48.20910953;16.36787099;Schottenviertel
444;Naglergasse, Sipserisches Haus;Naglergasse 287;287;309;179;;Naglergasse;Magistrat der Stadt Wien;48.2099073;16.36799884;Schottenviertel
445;;Rosmaringasse 377;377;407;454;;Rosmaringasse;Magistrat der Stadt Wien;48.21215591;16.37230553;Schottenviertel
446;Bognergasse, Zum schwarzen Kamel;#NV;312 B;#NV;#NV;#NV;#NV;#NV;48.210031;16.3683326;Widmerviertel
447;Färbergasse, Güntherisches Haus;#NV;335 A;#NV;#NV;#NV;#NV;#NV;48.2120207;16.3687385;Widmerviertel
448;Ksl. Futteramt;Wipplingerstraße 350;350;380;294;;Wipplingerstraße;Magistrat der Stadt Wien;48.2122942;16.3694163;Widmerviertel
449;Fischerstiege, Mändlisches Haus;Fischerstiege 374;374;404;"450;451";;Fischerstiege;Magistrat der Stadt Wien;48.2127512;16.3720833;Schottenviertel
450;;Fütterergasse 346;346;376;276;Der bürgerlichen Schneider-Innung gehörend;Fütterergasse;Magistrat der Stadt Wien;48.21185237;16.36988045;Widmerviertel
451;;Wipplingerstraße 347;347;377;291;;Wipplingerstraße;Magistrat der Stadt Wien;48.21201017;16.36995774;Widmerviertel
452;;Schultergasse 398;398;431;280;;Schultergasse;Stift Schotten;48.21113462;16.37156925;Widmerviertel
453;Wipplingerstraße, Zur goldenen Muschel;Wipplingerstraße 385;385;"414;416";"416;417;418";Stadt Wien Rathaus;Wipplingerstraße;Magistrat der Stadt Wien;48.2118867;16.3709263;Schottenviertel
454;;Passauergasse 367;367;397;428;P. P. Redemtoristen;Passauergasse;Ständisch frei;48.21244903;16.37116267;Schottenviertel
455;;Salzgasse 455;455;489;467;Zum Polizeihaus gehörig;Salzgasse;Magistrat der Stadt Wien;48.2122553;16.37357296;Schottenviertel
456;;Sterngasse 453;453;487;466;Stadt Wien Polizeihaus;Sterngasse;Magistrat der Stadt Wien;48.21235721;16.37285271;Schottenviertel
457;Beim Schönbrunn, Zum Kühfuß;Tuchlauben 561;561;601;575;;Tuchlauben;Magistrat der Stadt Wien;48.21013195;16.3706303;Kärntnerviertel
458;;Naglergasse 308;308;335;210;;Naglergasse;Magistrat der Stadt Wien;48.20984046;16.36835074;Widmerviertel
459;;Dorotheergasse 1118;1118;1184;1147;;Dorotheergasse;Stift Schottten;48.20790572;16.36978014;Widmerviertel
460;;Naglergasse 307;307;334;211;;Naglergasse;Magistrat der Stadt Wien;48.20988648;16.36828661;Widmerviertel
461;Rosengasse, Mehlmesserisches Haus;#NV;62 B;#NV;#NV;#NV;#NV;#NV;48.2113343;16.363441;Schottenviertel
462;;Bognergasse 310;310;"337;338";"226;225";;Bognergasse;Magistrat der Stadt Wien;48.20984922;16.36860933;Widmerviertel
463;Rotenturmstraße, Hauerisches Haus;Bischofgasse 637;637;678;625;;Bischofgasse;Magistrat der Stadt Wien;48.20969;16.37340194;Stubenviertel
464;;Sterngasse 452;452;486;463;;Sterngasse;Magistrat der Stadt Wien;48.21240981;16.37272116;Schottenviertel
465;Rotenturmstraße, Fügenschuhisches Haus;Bischofgasse 638;638;"571;679";"633;628";Der k. k. Universität gehörig;Bischofgasse;Magistrat der Stadt Wien;48.2099203;16.3737729;Stubenviertel
466;;Haarmarkt 730;730;776;752;;Haarmarkt;Magistrat der Stadt Wien;48.21068173;16.37517296;Stubenviertel
467;Alter Fleischmarkt, Zum weißen Ochsen;Alter Fleischmarkt 684;684;728;729;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21002533;16.37869692;Stubenviertel
468;Alter Fleischmarkt, Ludwigsches Haus;Alter Fleischmarkt 687;687;731;"732;733";;Alter Fleischmarkt;"Magistrat der Stadt Wien;Stift Schotten";48.21018861;16.37814111;Stubenviertel
469;Obere Bäckerstraße, Albrechtisches Haus;Universitätsplatz 758;758;804;794;;Universitätsplatz;Magistrat der Stadt Wien;48.20863032;16.37711171;Stubenviertel
470;Ramhof;Riemerstraße 817;817;867;898;;Riemerstraße;Magistrat der Stadt Wien;48.2067495;16.3761845;Kärntnerviertel
471;Zwettlerhof;Wollzeile 868;868;919;817;Metropolitan-Domkapitel;Wollzeile;Ständisch frei;48.2089808;16.3745783;Stubenviertel
472;;Bognergasse 311;311;339;224;;Bognergasse;Magistrat der Stadt Wien;48.20995333;16.36855794;Widmerviertel
473;Weihenburg, Orellisches Haus;Weihburggasse 911;911;967;943;;Weihburggasse;Magistrat der Stadt Wien;48.20664348;16.37387718;Kärntnerviertel
474;;Himmelpfortgasse 953;953;1010;979;;Himmelpfortgasse;Stift Schotten;48.2055056;16.37382984;Kärntnerviertel
475;Himmelpfortgasse, Gattenhoferisches Haus;Himmelpfortgasse 964;964;"1021;1022";"989;990";K. K. Münzhaus;Himmelpfortgasse;Stift Schotten und Magistrat der Stadt Wien, beide redimiert;48.20556039;16.37296324;Kärntnerviertel
476;;Johannesgasse 970;970;1028;996;;Johannesgasse;Magistrat der Stadt Wien;48.20528038;16.3716987;Kärntnerviertel
477;;Krugerstraße 1007;1007;1069;1027;;Krugerstraße;Ständisch frei;48.20408251;16.37124649;Kärntnerviertel
478;;Johannesgasse 979;979;1038;1007;;Johannesgasse;Magistrat der Stadt Wien;48.20460254;16.37335379;Kärntnerviertel
479;;Johannesgasse 976;976;1035;1003;Herzogliches Savoyisches Damenstift;Johannesgasse;Magistrat der Stadt Wien;48.20472091;16.37345574;Kärntnerviertel
480;Annagasse, Welsisches Haus;Annagasse 995;995;1057;1015;;Annagasse;Ständisch frei;48.2039618;16.373081;Kärntnerviertel
